Time,Price,Trade Size,Type
16:49:55,1.55,5000,Sell Down
16:49:48,1.56,200,Buy Up
16:49:46,1.55,2900,Sell Down
16:49:45,1.55,700,Sell Down
16:49:45,1.56,600,Buy Up
16:49:40,1.55,4200,Sell Down
16:49:38,1.55,900,Sell Down
16:49:38,1.55,1000,Sell Down
16:49:38,1.55,1000,Sell Down
16:49:38,1.55,100,Sell Down
16:49:38,1.55,100,Sell Down
16:49:38,1.55,2000,Sell Down
16:49:34,1.56,1900,Buy Up
16:49:33,1.55,500,Sell Down
16:49:25,1.55,2500,Sell Down
16:49:25,1.55,100,Sell Down
16:49:25,1.55,100,Sell Down
16:49:25,1.55,100,Sell Down
16:49:25,1.55,30000,Sell Down
16:49:25,1.55,5000,Sell Down
16:49:25,1.55,6000,Sell Down
16:49:25,1.55,100,Sell Down
16:49:25,1.55,1100,Sell Down
16:49:25,1.55,1200,Sell Down
16:49:25,1.55,8200,Sell Down
16:49:21,1.55,2600,Sell Down
16:49:20,1.56,600,Buy Up
16:49:20,1.55,5200,Sell Down
16:49:10,1.55,500,Sell Down
16:49:06,1.55,4400,Sell Down
16:49:03,1.56,100,Buy Up
16:49:01,1.55,4100,Sell Down
16:49:00,1.56,600,Buy Up
16:48:55,1.56,100,Buy Up
16:48:53,1.56,2200,Buy Up
16:48:49,1.55,4400,Sell Down
16:48:45,1.55,4100,Sell Down
16:48:42,1.55,1300,Sell Down
16:48:42,1.56,500,Buy Up
16:48:39,1.55,300,Sell Down
16:48:37,1.55,2900,Sell Down
16:48:35,1.56,600,Buy Up
16:48:32,1.55,4400,Sell Down
16:48:30,1.55,5200,Sell Down
16:48:22,1.55,10000,Sell Down
16:48:14,1.55,4900,Sell Down
16:48:14,1.55,3900,Sell Down
16:48:03,1.56,700,Buy Up
16:48:02,1.55,1200,Sell Down
16:47:58,1.55,1300,Sell Down
16:47:58,1.55,5700,Sell Down
16:47:56,1.55,4700,Sell Down
16:47:41,1.56,1000,Buy Up
16:47:40,1.55,5600,Sell Down
16:47:39,1.55,5300,Sell Down
16:47:34,1.56,800,Buy Up
16:47:31,1.55,2800,Sell Down
16:47:24,1.56,20000,Buy Up
